rowID,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
0,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2010,536.333
1,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2022,628.998
2,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2023,642.146
3,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2030,676.466
4,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2035,681.624
5,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2040,690.874
6,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2050,721.944
7,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2023,642.146
8,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2030,640.849
9,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2035,623.955
10,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2040,619.615
11,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2050,634.735
12,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2023,642.146
13,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2030,587.974
14,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2035,544.123
15,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2040,538.468
16,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2050,563.999
17,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2010,43.155
18,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2022,74.381
19,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2023,77.934
20,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2030,120.062
21,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2035,152.936
22,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2040,184.807
23,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2050,240.591
24,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2023,77.934
25,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2030,139.519
26,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2035,196.542
27,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2040,251.348
28,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2050,336.251
29,Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2023,77.934
30,Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2030,165.361
31,Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2035,245.265
32,Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2040,312.214
33,Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2050,399.292
34,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2010,0.774
35,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2022,6.418
36,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2023,7.689
37,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2030,25.945
38,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2035,41.971
39,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2040,58.177
40,Stated Policies Scenario,Energy,Solar,Total energy supply,EJ,2050,84.08
