SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2010,536.333
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2022,628.998
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2023,642.146
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2030,676.466
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2035,681.624
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2050,721.944
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2030,640.849
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2035,623.955
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2050,634.735
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,North America,2010,112.579
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,North America,2022,113.699
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,North America,2023,112.336
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,North America,2030,108.801
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,North America,2035,103.608
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,North America,2050,99.272
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,North America,2030,103.67
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,North America,2035,96.259
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,North America,2050,89.137
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,United States,2010,94.061
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,United States,2022,93.39
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,United States,2023,91.879
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,United States,2030,88.183
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,United States,2035,83.013
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,United States,2050,78.021
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,United States,2030,84.701
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,United States,2035,78.462
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,United States,2050,72.869
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2010,26.632
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2022,29.251
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2023,29.793
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2030,32.66
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2035,35.155
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2050,43.5
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2030,32.336
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2035,34.74
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Central and South America,2050,39.992
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Brazil,2010,12.135
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Brazil,2022,13.892
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Brazil,2023,14.378
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Brazil,2030,16.138
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Brazil,2035,17.246
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Brazil,2050,21.25
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Brazil,2030,16.227
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Brazil,2035,17.797
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Brazil,2050,20.421
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Europe,2010,88.973
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Europe,2022,76.996
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Europe,2023,74.35
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Europe,2030,73.024
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Europe,2035,70.225
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Europe,2050,65.47
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Europe,2030,70.403
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Europe,2035,65.072
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Europe,2050,59.291
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,European Union,2010,64.174
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,European Union,2022,55.431
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,European Union,2023,52.969
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,European Union,2030,50.924
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,European Union,2035,48.012
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,European Union,2050,42.833
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,European Union,2030,49.21
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,European Union,2035,44.939
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,European Union,2050,40.161
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Africa,2010,25.407
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Africa,2022,33.525
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Africa,2023,33.938
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Africa,2030,36.926
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Africa,2035,39.781
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Africa,2050,51.665
