SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2010,536.333
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2022,628.998
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2023,642.146
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2030,676.466
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2035,681.624
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2040,690.874
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,2050,721.944
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2023,642.146
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2030,640.849
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2035,623.955
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2040,619.615
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,2050,634.735
Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2023,642.146
Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2030,587.974
Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2035,544.123
Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2040,538.468
Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,2050,563.999
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2010,43.155
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2022,74.381
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2023,77.934
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2030,120.062
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2035,152.936
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2040,184.807
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,2050,240.591
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2023,77.934
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2030,139.519
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2035,196.542
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2040,251.348
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,2050,336.251
Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2023,77.934
Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2030,165.361
Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2035,245.265
Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2040,312.214
Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,2050,399.292
