"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2010,536.333
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2022,628.998
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2023,642.146
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2030,676.466
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2035,681.624
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,721.944
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2030,640.849
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2035,623.955
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2050,634.735
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2010,112.579
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2022,113.699
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2023,112.336
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2030,108.801
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2035,103.608
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2050,99.272
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","North America",2030,103.67
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","North America",2035,96.259
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","North America",2050,89.137
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2010,94.061
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2022,93.39
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2023,91.879
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2030,88.183
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2035,83.013
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2050,78.021
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","United States",2030,84.701
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","United States",2035,78.462
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","United States",2050,72.869
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2010,26.632
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2022,29.251
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2023,29.793
