PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2010,536.333
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2022,628.998
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2023,642.146
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2030,676.466
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2035,681.624
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2040,690.874
World Energy Outlook 2024,Stated Policies Scenario,Energy,Total,Total energy supply,EJ,World,2050,721.944
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2023,642.146
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2030,640.849
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2035,623.955
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2040,619.615
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,World,2050,634.735
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,World,2023,642.146
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,World,2030,587.974
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,World,2035,544.123
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,World,2040,538.468
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Total,Total energy supply,EJ,World,2050,563.999
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2010,43.155
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2022,74.381
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2023,77.934
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2030,120.062
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2035,152.936
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2040,184.807
World Energy Outlook 2024,Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2050,240.591
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2023,77.934
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2030,139.519
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2035,196.542
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2040,251.348
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2050,336.251
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Renewables,Total energy supply,EJ,World,2023,77.934
